,objid,ra,dec,g-i,u-g,u-z,g-z,concentration_index,photo_z,frac_dev,host_galaxy,distance,magnitude,axis_ratio,radius,w1,w2,w3,w4,u_mag,g_mag,i_mag,r_mag,z_mag
0,1237654786779840539,187.376046140222,7.99284317626747,1.2304999999999993,1.8383900000000004,3.3675300000000004,1.52914,0.35940496006912453,0.028407,0.7209538,NGC4472,17.14,-17.3020140879359,0.7595184,521.6579863218172,11.542,11.645,11.166,8.825,16.54515,14.70676,13.47626,13.86804,13.17762
1,1237654606410285099,184.84619203171,5.79483690001711,1.2271600000000014,1.8684600000000007,3.3890800000000016,1.520620000000001,0.39950840871438437,0.02597,0.9943219,NGC4261,29.4,-18.22117665206079,0.9123216,673.2706572498549,11.511,11.634,11.36,8.869,16.77934,14.91088,13.68372,14.12056,13.39026
2,1237661949719347370,188.905204623056,12.3820462064513,1.1633700000000005,1.8189499999999992,3.291969999999999,1.47302,0.35790972866983406,0.027358,0.7712994,NGC4552,15.33,-16.703880774271877,0.8793265,310.46240457461647,11.784,11.9,12.096,8.926,16.81666,14.99771,13.83434,14.22383,13.52469
3,1237655468598165525,226.642818746204,1.55882827335079,1.3357899999999994,2.0776400000000024,3.726370000000001,1.6487299999999987,0.3552982075153877,0.052173,0.9500041,NGC5846,28.5,-17.27344430004255,0.8060865,172.08658675960734,11.846,11.942,11.378,8.874,17.97922,15.90158,14.56579,15.00078,14.25285
4,1237661812812873761,187.633244598115,12.4902146869246,1.2301800000000007,1.9687800000000006,3.525870000000001,1.5570900000000005,0.3468792706057035,0.005495,0.913231,NGC4486,16.4,-18.032339240238493,0.9289402,186.7105455537407,10.135,10.205,9.715,8.487,15.81642,13.84764,12.61746,13.04188,12.29055
5,1237654786779840584,187.395804357461,8.05798754750807,1.3069900000000008,1.8398599999999998,3.4349600000000002,1.5951000000000004,0.37925925565626817,0.071438,0.7500415,NGC4472,17.14,-16.1028540879359,0.8679141,217.74923210731095,12.26,12.403,11.642,8.783,17.81586,15.976,14.66901,15.0672,14.3809
6,1237658629695733921,187.970394675667,12.2664070008133,0.9838100000000018,1.5602599999999995,2.7556499999999993,1.1953899999999997,0.3264421623095279,0.062414,1.0,NGC4552,15.33,-13.545760774271876,0.8897434,73.46874377030728,14.994,15.076,12.781,9.176,19.60201,18.04175,17.05794,17.38195,16.84636
7,1237661816022499458,190.480562049374,11.6677208469944,1.173639999999999,2.1791300000000007,3.7080699999999993,1.5289399999999986,0.16572690056266579,0.083907,0.8899195,NGC4621,15.35,-13.75144189906603,0.9995907,30.812249961455073,14.018,13.941,12.36,9.111,20.16396,17.98483,16.81119,17.1791,16.45589
8,1237658630232539222,187.799500805529,12.6836306000072,1.0618100000000013,1.6733900000000013,2.9814800000000012,1.30809,0.44342793908624956,0.093653,0.9878698,NGC4552,15.33,-12.556370774271876,0.8394813,17.421148151676903,15.746,16.032,12.738,9.198,20.75325,19.07986,18.01805,18.37134,17.77177
9,1237661812812873762,187.639284600563,12.4984348115198,0.8530200000000008,1.6872899999999973,2.6955199999999984,1.008230000000001,0.4137585731756114,0.089071,1.0,NGC4486,16.4,-12.58390924023849,0.9134472,43.54717919856696,15.893,15.722,12.681,9.297,20.75436,19.06707,18.21405,18.49031,18.05884
10,1237661950255825006,187.88207713263,12.6917534271546,0.9359099999999998,1.4181500000000007,2.5455000000000005,1.1273499999999999,0.4394762613516253,0.117957,0.9266128,NGC4552,15.33,-12.144870774271876,0.7611841,42.96161684661116,16.984,16.793,12.517,9.035,20.84299,19.42484,18.48893,18.78284,18.29749
11,1237658629158666684,187.583515736063,11.9218746430184,0.8453700000000026,1.219619999999999,2.2932200000000016,1.0736000000000026,0.35690116516833986,0.115104,1.0,NGC4486,16.4,-12.475319240238491,0.9998984,32.85066242412057,16.204,15.989,12.736,9.211,20.4192,19.19958,18.35421,18.5989,18.12598
12,1237661976011407572,187.575216606593,7.84027086221811,0.9709299999999992,1.641020000000001,2.8533100000000005,1.2122899999999994,0.3521755667242143,0.096739,1.0,NGC4472,17.14,-12.583904087935899,0.9993598,51.71918942497818,16.241,15.573,12.713,9.093,20.86662,19.2256,18.25467,18.58615,18.01331
