,objid,ra,dec,g-i,u-g,u-z,g-z,g-r,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,link
352,587737825680752800,133.3575268,58.78070431,1.4769760000000005,1.3873200000000026,3.203211,1.815890999999997,0.9128529999999984,0.3544809165139427,0.145507,1.0,NGC2685,16.7,0.6821,Possible compact galaxies,99.40089961560577,-13.974422355737918,19.439333,18.052013,16.575037,17.13916,16.236122,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587737825680752800
385,587735044153344029,137.96430722,34.84601557,0.9154969999999985,1.7248669999999997,2.738624999999999,1.0137579999999993,0.6733839999999987,0.4424161331188855,0.073,0.917976,NGC2778,22.3,0.260652,Possible compact galaxies,57.354164911185066,-15.512347315240802,18.627428,16.902561,15.987064,16.229177,15.888803,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587735044153344029
819,587738411404230854,162.02434215,14.58220662,1.1882650000000012,1.8662889999999983,3.252355999999999,1.3860670000000006,0.8107450000000007,0.3044209024046159,0.071348,1.0,NGC3377,10.9,0.829093,Possible compact galaxies,52.86894695421901,-12.877071489703116,19.987095,18.120806,16.932541,17.310061,16.734739,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587738411404230854
2054,587732771592208492,182.05212575,10.16947908,1.0240690000000008,1.9946729999999988,3.1843799999999973,1.1897069999999983,0.7871929999999985,0.4327842819444208,0.068459,1.0,NGC4119,16.5,0.405883,Possible compact galaxies,27.9295149997558,-13.357238721069532,20.512047,18.517374,17.493305,17.730181,17.327667,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587732771592208492
3096,588017565490085976,185.71956737,11.6991362,1.1896179999999994,1.847614,3.2715929999999998,1.4239789999999992,0.8277229999999989,0.3720008355202725,0.077035,1.0,NGC4371,17.0,0.721314,Possible compact galaxies,63.196394174895744,-13.943851606891371,19.88373,18.036116,16.846498,17.208393,16.612137,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017565490085976
4388,587732771595550806,189.77498681,9.99107752,1.2104950000000017,1.977034,3.425528,1.4484940000000002,0.8718450000000004,0.4084297966331122,0.093287,1.0,NGC4596,16.5,0.340663,Possible compact galaxies,43.071467991283,-13.677198721069534,20.2591,18.282066,17.071571,17.410221,16.833572,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587732771595550806
5358,588017603620634628,215.35956415,39.74962556,1.1086310000000008,1.7703759999999988,3.060777,1.290401000000001,0.7934090000000005,0.4397922918067685,0.134105,0.81373,NGC5582,27.7,0.060476,Possible compact galaxies,70.36322884908199,-16.00204684532224,18.774137,17.003761,15.89513,16.210352,15.71336,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017603620634628
5840,588015507655819443,353.37287557,-1.14119898,0.997800999999999,1.8573069999999987,3.000188999999999,1.1428820000000002,0.7320810000000009,0.4478859215238297,0.086266,0.820553,NGC7693,35.4,0.140166,Possible compact galaxies,143.259155385718,-15.18645731012894,20.147947,18.29064,17.292839,17.558559,17.147758,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588015507655819443
7505,587728931345137669,140.51583166,50.98410857,1.016062999999999,1.9533270000000016,3.194927,1.2415999999999985,0.7280499999999996,0.3774146000749411,0.067024,0.892569,NGC2798,27.8,0.666156,Possible compact galaxies,102.48802971520205,-14.77273897959038,20.128862,18.175535,17.159472,17.447485,16.933935,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587728931345137669
11917,588017704542339227,182.94141504,13.28552992,1.042853000000001,1.4231890000000007,2.685259000000002,1.2620700000000014,0.6798800000000007,0.4006285383819322,0.076956,0.515743,NGC4180,16.5,0.884908,Possible compact galaxies,348.5335072062979,-13.870494721069534,19.319994,17.896805,16.853952,17.216925,16.634735,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017704542339227
15007,587742061076807699,194.39224602,21.91499696,0.980758999999999,1.2092360000000006,2.36092,1.1516839999999997,0.698563,0.4001737910545032,0.099378,0.968185,NGC4814,39.8,0.153675,Possible compact galaxies,104.0667275563893,-15.72126336036844,19.185951,17.976715,16.995956,17.278152,16.825031,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587742061076807699
15011,587742578056757263,194.27449338,20.75926994,1.0842029999999987,1.980843,3.714392,1.733549,0.9287449999999992,0.4210473999258125,0.091688,1.0,NGC4814,39.8,0.522731,Possible compact galaxies,497.5086679453567,-15.891995360368435,20.017008,18.036165,16.951962,17.10742,16.302616,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587742578056757263
15515,588017115586887687,202.90708615,46.15085005,1.030906,1.7452660000000009,3.035222000000001,1.289956,0.6740459999999988,0.4178525166550514,0.05807,0.850536,NGC5169,38.5,0.779272,Possible compact galaxies,1787.5499404203688,-19.4765246475425,15.870091,14.124825,13.093919,13.450779,12.834869,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017115586887687
15825,587739407864299637,208.07849394,33.38945261,1.135415999999999,1.8989520000000013,3.179475,1.2805229999999987,0.8254950000000001,0.4372611948413241,0.109233,0.912807,NGC5346,39.4,0.152016,Possible compact galaxies,115.03497022418976,-15.475280109127866,20.226648,18.327696,17.19228,17.502201,17.047173,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587739407864299637
16155,587735695913451683,211.34162879,54.26990867,0.8864970000000003,1.3125820000000008,2.340291000000001,1.0277089999999998,0.6125150000000001,0.4066328040196065,0.044751,0.672206,NGC5448,34.8,0.82865,Possible compact galaxies,2041.062345540864,-17.718980219732902,16.914013,15.601431,14.714934,14.988916,14.573722,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587735695913451683
16212,587735666379456530,211.91365716,54.79460149,1.060715,1.687412,2.9996669999999988,1.3122549999999986,0.7027549999999998,0.3149451122850606,0.039549,0.968768,NGC5448,34.8,0.735737,Possible compact galaxies,1328.9736780139267,-19.119690219732902,15.978373,14.290961,13.230246,13.588206,12.978706,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587735666379456530
16219,587735695913189443,210.31681066,54.41873813,1.1184249999999984,1.7898470000000015,3.211012,1.4211649999999985,0.7196069999999999,0.3328641109476506,0.05698,0.774054,NGC5448,34.8,0.371278,Possible compact galaxies,1243.4515006365657,-19.015921219732903,16.201429,14.411582,13.293157,13.691975,12.990417,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587735695913189443
16898,587726032268296347,225.07637158,1.50609947,1.0184340000000027,1.7911209999999969,2.9744779999999977,1.1833570000000009,0.7446000000000019,0.4437494987966043,0.086886,0.925843,NGC5795,37.7,0.165773,Possible compact galaxies,113.0967861163882,-15.257204751028963,20.160223,18.369102,17.350668,17.624502,17.185745,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587726032268296347
17355,588017977844039743,247.65288058,20.28600382,1.143263000000001,2.147048999999999,3.717676000000001,1.5706270000000018,0.995834000000002,0.4549681782051292,0.101861,0.69037,NGC6155,38.4,0.093752,Possible compact galaxies,65.87131386815177,-16.20920012183765,19.855339,17.70829,16.565027,16.712456,16.137663,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017977844039743
17994,587725040628137990,178.46492289,-2.38619706,1.199541,2.2797340000000013,3.605124,1.3253899999999987,0.949148000000001,0.4197213954665665,0.102012,1.0,UGC06545,40.0,0.156717,Possible compact galaxies,86.42909240970408,-15.558326956639814,20.680855,18.401121,17.20158,17.451973,17.075731,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587725040628137990
